0.000;-0.139
0.019;-0.140
0.038;-0.139
0.056;-0.140
0.075;-0.140
0.094;-0.139
0.113;-0.139
0.131;-0.139
0.150;-0.140
0.169;-0.139
0.188;-0.140
0.206;-0.140
0.225;-0.139
0.244;-0.139
0.263;-0.141
0.281;-0.140
0.300;-0.140
0.319;-0.140
0.338;-0.140
0.356;-0.139
0.375;-0.140
0.394;-0.140
0.413;-0.139
0.431;-0.140
0.450;-0.140
0.469;-0.140
0.488;-0.139
0.506;-0.138
0.525;-0.140
0.544;-0.141
0.563;-0.140
0.581;-0.139
0.600;-0.139
0.619;-0.139
0.638;-0.139
0.656;-0.139
0.675;-0.140
0.694;-0.139
0.713;-0.140
0.731;-0.139
0.750;-0.140
0.769;-0.140
0.788;-0.140
0.806;-0.140
0.825;-0.139
0.844;-0.140
0.863;-0.140
0.881;-0.140
0.900;-0.139
0.919;-0.139
0.938;-0.139
0.956;-0.140
0.975;-0.139
0.994;-0.140
1.013;-0.140
1.031;-0.139
1.050;-0.139
1.069;-0.139
1.088;-0.139
1.106;-0.140
1.125;-0.140
1.144;-0.139
1.163;-0.139
1.181;-0.138
1.200;-0.140
1.219;-0.140
1.238;-0.138
1.256;-0.140
1.275;-0.140
1.294;-0.140
1.313;-0.140
1.331;-0.140
1.350;-0.140
1.369;-0.139
1.388;-0.138
1.406;-0.141
1.425;-0.140
1.444;-0.139
1.463;-0.141
1.481;-0.140
1.500;-0.139
1.519;-0.141
1.538;-0.139
1.556;-0.141
1.575;-0.140
1.594;-0.140
1.613;-0.140
1.631;-0.140
1.650;-0.140
1.669;-0.140
1.688;-0.140
1.706;-0.139
1.725;-0.141
1.744;-0.139
1.763;-0.139
1.781;-0.139
1.800;-0.139
1.819;-0.139
1.838;-0.141
1.856;-0.139
1.875;-0.138
1.894;-0.140
1.913;-0.139
1.931;-0.139
1.950;-0.138
1.969;-0.139
1.988;-0.140
2.006;-0.139
2.025;-0.139
2.044;-0.139
2.063;-0.140
2.081;-0.140
2.100;-0.141
2.119;-0.139
2.138;-0.141
2.156;-0.139
2.175;-0.140
2.194;-0.140
2.213;-0.139
2.231;-0.139
2.250;-0.140
2.269;-0.139
2.288;-0.139
2.306;-0.140
2.325;-0.140
2.344;-0.140
2.363;-0.141
2.381;-0.140
2.400;-0.140
